productId,name,description,price,category,available,imageName
P001,Hammer,Basic steel hammer for home projects,14.99,Tools,true,hammer.jpeg
P002,Screwdriver Set,Set of different screwdriver sizes,19.99,Tools,true,screwdriver.jpeg
P003,Paint Brush,Brush for indoor and outdoor painting,6.49,Paint,true,paintbrush.jpeg
P004,Cordless Drill,Battery powered drill for home repairs,79.99,Power Tools,true,drill.jpeg
P005,Ladder,Foldable ladder for reaching high areas,129.99,Hardware,false,ladder.jpeg
P006,Garden Hose,Outdoor hose for yard and garden use,24.99,Garden,true,Garden_Hose.jpeg
P007,Work Gloves,Gloves for yard work and repairs,12.99,Safety,true,gloves.jpeg
P008,Toolbox,Storage box for tools and hardware,34.99,Storage,true,toolbox.jpeg
P009,Leaf Blower,Electric blower for cleaning leaves,59.99,Garden,true,leafblower.jpeg
P010,Tape Measure,Measuring tape for construction and home projects,9.99,Tools,true,
P011,Utility Knife,Retractable knife for cutting boxes and materials,8.49,Tools,true,
P012,Socket Wrench Set,Socket set for vehicle and home repairs,44.99,Tools,true,
P013,Circular Saw,Electric saw for cutting wood and boards,109.99,Power Tools,true,
P014,Power Sander,Electric sander for smoothing wood surfaces,64.99,Power Tools,true,
P015,Extension Cord,Outdoor extension cord for power tools,29.99,Electrical,true,
P016,LED Light Bulbs,Pack of energy efficient LED light bulbs,15.99,Electrical,true,
P017,Wall Outlet,Standard electrical wall outlet replacement,4.99,Electrical,true,
P018,Ceiling Fan,Indoor ceiling fan with light fixture,119.99,Electrical,false,
P019,Paint Roller Kit,Roller tray and brushes for wall painting,18.99,Paint,true,
P020,Interior Wall Paint,Gallon of washable interior wall paint,39.99,Paint,true,
P021,Wood Stain,Protective stain for indoor and outdoor wood,22.99,Paint,true,
P022,Safety Glasses,Protective glasses for construction work,11.49,Safety,true,
P023,Dust Mask,Reusable mask for dust and light debris,7.99,Safety,true,
P024,First Aid Kit,Basic first aid supplies for home projects,26.99,Safety,true,
P025,Storage Shelf,Five level shelf for garage storage,89.99,Storage,true,
P026,Plastic Storage Bin,Large storage bin with locking lid,17.99,Storage,true,
P027,Planting Soil,Bag of soil for flowers and garden plants,8.99,Garden,true,
P028,Garden Shovel,Steel shovel for digging and yard work,27.99,Garden,true,
P029,Watering Can,Plastic watering can for indoor and outdoor plants,13.99,Garden,false,
P030,Door Lock Set,Entry door lock with two matching keys,42.99,Hardware,true,
